Algorithm,Iteration,costValue
ParticleSwarmAlg,38,12.40
ParticleSwarmAlg,39,12.40
ParticleSwarmAlg,40,12.40
ParticleSwarmAlg,41,12.40
ParticleSwarmAlg,42,12.40
ParticleSwarmAlg,43,12.40
ParticleSwarmAlg,44,12.40
ParticleSwarmAlg,45,12.40
ParticleSwarmAlg,46,12.40
ParticleSwarmAlg,47,12.40
ParticleSwarmAlg,48,12.40
ParticleSwarmAlg,49,12.40
ParticleSwarmAlg,50,12.40
ParticleSwarmAlg,51,12.40
ParticleSwarmAlg,52,12.40
ParticleSwarmAlg,53,12.40
ParticleSwarmAlg,54,12.40
ParticleSwarmAlg,55,12.40
ParticleSwarmAlg,56,12.40
ParticleSwarmAlg,57,12.40
ParticleSwarmAlg,58,12.40
ParticleSwarmAlg,59,12.40
ParticleSwarmAlg,60,12.40
ParticleSwarmAlg,61,12.40
ParticleSwarmAlg,62,12.40
ParticleSwarmAlg,63,12.40
ParticleSwarmAlg,64,12.40
ParticleSwarmAlg,65,12.40
ParticleSwarmAlg,66,12.40
ParticleSwarmAlg,67,12.40
ParticleSwarmAlg,68,12.40
ParticleSwarmAlg,69,12.40
ParticleSwarmAlg,70,12.40
ParticleSwarmAlg,71,12.40
ParticleSwarmAlg,72,12.40
ParticleSwarmAlg,73,12.40
ParticleSwarmAlg,74,12.40
ParticleSwarmAlg,75,12.40
ParticleSwarmAlg,76,12.40
ParticleSwarmAlg,77,12.40
ParticleSwarmAlg,78,12.40
ParticleSwarmAlg,79,12.40
ParticleSwarmAlg,80,12.40
ParticleSwarmAlg,81,12.40
ParticleSwarmAlg,82,12.40
ParticleSwarmAlg,83,12.40
ParticleSwarmAlg,84,12.40
ParticleSwarmAlg,85,12.40
ParticleSwarmAlg,86,12.40
ParticleSwarmAlg,87,12.40
ParticleSwarmAlg,88,12.40
ParticleSwarmAlg,89,12.40
ParticleSwarmAlg,90,12.40
ParticleSwarmAlg,91,12.40
ParticleSwarmAlg,92,12.40
ParticleSwarmAlg,93,12.40
ParticleSwarmAlg,94,12.40
ParticleSwarmAlg,95,12.40
ParticleSwarmAlg,96,12.40
ParticleSwarmAlg,97,12.40
ParticleSwarmAlg,98,12.40
ParticleSwarmAlg,99,12.40
ParticleSwarmAlg,0,13.00
ParticleSwarmAlg,1,13.00
ParticleSwarmAlg,2,13.00
ParticleSwarmAlg,3,12.20
ParticleSwarmAlg,4,12.20
ParticleSwarmAlg,5,12.20
ParticleSwarmAlg,6,12.20
ParticleSwarmAlg,7,12.20
ParticleSwarmAlg,8,12.20
ParticleSwarmAlg,9,12.20
ParticleSwarmAlg,10,12.20
ParticleSwarmAlg,11,12.20
ParticleSwarmAlg,12,12.20
ParticleSwarmAlg,13,12.20
ParticleSwarmAlg,14,12.20
ParticleSwarmAlg,15,12.20
ParticleSwarmAlg,16,12.20
ParticleSwarmAlg,17,12.20
ParticleSwarmAlg,18,12.20
ParticleSwarmAlg,19,12.20
ParticleSwarmAlg,20,12.20
ParticleSwarmAlg,21,12.20
ParticleSwarmAlg,22,12.20
ParticleSwarmAlg,23,12.20
ParticleSwarmAlg,24,12.20
ParticleSwarmAlg,25,12.20
ParticleSwarmAlg,26,12.20
ParticleSwarmAlg,27,12.20
ParticleSwarmAlg,28,12.20
ParticleSwarmAlg,29,12.20
ParticleSwarmAlg,30,12.20
ParticleSwarmAlg,31,12.20
ParticleSwarmAlg,32,12.20
ParticleSwarmAlg,33,12.20
ParticleSwarmAlg,34,12.20
ParticleSwarmAlg,35,12.20
ParticleSwarmAlg,36,12.20
ParticleSwarmAlg,37,12.20
ParticleSwarmAlg,38,12.20
ParticleSwarmAlg,39,12.20
ParticleSwarmAlg,40,12.20
ParticleSwarmAlg,41,12.20
ParticleSwarmAlg,42,12.20
ParticleSwarmAlg,43,12.20
ParticleSwarmAlg,44,12.20
ParticleSwarmAlg,45,12.20
ParticleSwarmAlg,46,12.20
ParticleSwarmAlg,47,12.20
ParticleSwarmAlg,48,12.20
ParticleSwarmAlg,49,12.20
ParticleSwarmAlg,50,12.20
ParticleSwarmAlg,51,12.20
ParticleSwarmAlg,52,12.20
ParticleSwarmAlg,53,12.20
ParticleSwarmAlg,54,12.20
ParticleSwarmAlg,55,12.20
ParticleSwarmAlg,56,12.20
ParticleSwarmAlg,57,12.20
ParticleSwarmAlg,58,12.20
ParticleSwarmAlg,59,12.20
ParticleSwarmAlg,60,12.20
ParticleSwarmAlg,61,12.20
ParticleSwarmAlg,62,12.20
ParticleSwarmAlg,63,12.20
ParticleSwarmAlg,64,12.20
ParticleSwarmAlg,65,12.20
ParticleSwarmAlg,66,12.20
ParticleSwarmAlg,67,12.20
ParticleSwarmAlg,68,12.20
ParticleSwarmAlg,69,12.20
ParticleSwarmAlg,70,12.20
ParticleSwarmAlg,71,12.20
ParticleSwarmAlg,72,12.20
ParticleSwarmAlg,73,12.20
ParticleSwarmAlg,74,12.20
ParticleSwarmAlg,75,12.20
ParticleSwarmAlg,76,12.20
ParticleSwarmAlg,77,12.20
ParticleSwarmAlg,78,12.20
ParticleSwarmAlg,79,12.20
ParticleSwarmAlg,80,12.20
ParticleSwarmAlg,81,12.20
ParticleSwarmAlg,82,12.20
ParticleSwarmAlg,83,12.20
ParticleSwarmAlg,84,12.20
ParticleSwarmAlg,85,12.20
ParticleSwarmAlg,86,12.20
ParticleSwarmAlg,87,12.20
ParticleSwarmAlg,88,12.20
ParticleSwarmAlg,89,12.20
ParticleSwarmAlg,90,12.20
ParticleSwarmAlg,91,12.20
ParticleSwarmAlg,92,12.20
ParticleSwarmAlg,93,12.20
ParticleSwarmAlg,94,12.20
ParticleSwarmAlg,95,12.20
ParticleSwarmAlg,96,12.20
ParticleSwarmAlg,97,12.20
ParticleSwarmAlg,98,12.20
ParticleSwarmAlg,99,12.20
ParticleSwarmAlg,0,13.20
ParticleSwarmAlg,1,13.20
ParticleSwarmAlg,2,12.60
ParticleSwarmAlg,3,12.60
ParticleSwarmAlg,4,12.60
ParticleSwarmAlg,5,12.40
ParticleSwarmAlg,6,12.40
ParticleSwarmAlg,7,12.40
ParticleSwarmAlg,8,12.40
ParticleSwarmAlg,9,12.40
ParticleSwarmAlg,10,12.40
ParticleSwarmAlg,11,12.40
ParticleSwarmAlg,12,12.40
ParticleSwarmAlg,13,12.40
ParticleSwarmAlg,14,12.40
ParticleSwarmAlg,15,12.40
ParticleSwarmAlg,16,12.40
ParticleSwarmAlg,17,12.40
ParticleSwarmAlg,18,12.40
ParticleSwarmAlg,19,12.40
ParticleSwarmAlg,20,12.40
ParticleSwarmAlg,21,12.40
ParticleSwarmAlg,22,12.40
ParticleSwarmAlg,23,12.40
ParticleSwarmAlg,24,12.40
ParticleSwarmAlg,25,12.40
ParticleSwarmAlg,26,12.40
ParticleSwarmAlg,27,12.40
ParticleSwarmAlg,28,12.40
ParticleSwarmAlg,29,12.40
ParticleSwarmAlg,30,12.40
ParticleSwarmAlg,31,12.40
ParticleSwarmAlg,32,12.40
ParticleSwarmAlg,33,12.40
ParticleSwarmAlg,34,12.40
ParticleSwarmAlg,35,12.40
ParticleSwarmAlg,36,12.40
ParticleSwarmAlg,37,12.40
ParticleSwarmAlg,38,12.40
ParticleSwarmAlg,39,12.40
ParticleSwarmAlg,40,12.40
ParticleSwarmAlg,41,12.40
ParticleSwarmAlg,42,12.40
ParticleSwarmAlg,43,12.40
ParticleSwarmAlg,44,12.40
ParticleSwarmAlg,45,12.40
ParticleSwarmAlg,46,12.40
ParticleSwarmAlg,47,12.40
ParticleSwarmAlg,48,12.40
ParticleSwarmAlg,49,12.40
ParticleSwarmAlg,50,12.40
ParticleSwarmAlg,51,12.40
ParticleSwarmAlg,52,12.40
ParticleSwarmAlg,53,12.40
ParticleSwarmAlg,54,12.40
ParticleSwarmAlg,55,12.40
ParticleSwarmAlg,56,12.40
ParticleSwarmAlg,57,12.40
ParticleSwarmAlg,58,12.40
ParticleSwarmAlg,59,12.40
ParticleSwarmAlg,60,12.40
ParticleSwarmAlg,61,12.40
ParticleSwarmAlg,62,12.40
ParticleSwarmAlg,63,12.40
ParticleSwarmAlg,64,12.40
ParticleSwarmAlg,65,12.40
ParticleSwarmAlg,66,12.40
ParticleSwarmAlg,67,12.40
ParticleSwarmAlg,68,12.40
ParticleSwarmAlg,69,12.40
ParticleSwarmAlg,70,12.40
ParticleSwarmAlg,71,12.40
ParticleSwarmAlg,72,12.40
ParticleSwarmAlg,73,12.40
ParticleSwarmAlg,74,12.40
ParticleSwarmAlg,75,12.40
ParticleSwarmAlg,76,12.40
ParticleSwarmAlg,77,12.40
ParticleSwarmAlg,78,12.40
ParticleSwarmAlg,79,12.40
ParticleSwarmAlg,80,12.40
ParticleSwarmAlg,81,12.40
ParticleSwarmAlg,82,12.40
ParticleSwarmAlg,83,12.40
ParticleSwarmAlg,84,12.40
ParticleSwarmAlg,85,12.40
ParticleSwarmAlg,86,12.40
ParticleSwarmAlg,87,12.40
ParticleSwarmAlg,88,12.40
ParticleSwarmAlg,89,12.40
ParticleSwarmAlg,90,12.40
ParticleSwarmAlg,91,12.40
ParticleSwarmAlg,92,12.40
ParticleSwarmAlg,93,12.40
ParticleSwarmAlg,94,12.40
ParticleSwarmAlg,95,12.40
ParticleSwarmAlg,96,12.40
ParticleSwarmAlg,97,12.40
ParticleSwarmAlg,98,12.40
ParticleSwarmAlg,99,12.40
ParticleSwarmAlg,0,13.40
ParticleSwarmAlg,1,12.80
ParticleSwarmAlg,2,12.80
ParticleSwarmAlg,3,12.80
ParticleSwarmAlg,4,12.80
ParticleSwarmAlg,5,12.80
ParticleSwarmAlg,6,12.80
ParticleSwarmAlg,7,12.80
ParticleSwarmAlg,8,12.80
ParticleSwarmAlg,9,12.80
ParticleSwarmAlg,10,12.80
ParticleSwarmAlg,11,12.80
ParticleSwarmAlg,12,12.80
ParticleSwarmAlg,13,12.80
ParticleSwarmAlg,14,12.80
ParticleSwarmAlg,15,12.80
ParticleSwarmAlg,16,12.80
ParticleSwarmAlg,17,12.80
ParticleSwarmAlg,18,12.80
ParticleSwarmAlg,19,12.80
ParticleSwarmAlg,20,12.80
ParticleSwarmAlg,21,12.80
ParticleSwarmAlg,22,12.80
ParticleSwarmAlg,23,12.80
ParticleSwarmAlg,24,12.80
ParticleSwarmAlg,25,12.80
ParticleSwarmAlg,26,12.80
ParticleSwarmAlg,27,12.80
ParticleSwarmAlg,28,12.80
ParticleSwarmAlg,29,12.80
ParticleSwarmAlg,30,12.80
ParticleSwarmAlg,31,12.80
ParticleSwarmAlg,32,12.80
ParticleSwarmAlg,33,12.80
ParticleSwarmAlg,34,12.80
ParticleSwarmAlg,35,12.80
ParticleSwarmAlg,36,12.80
ParticleSwarmAlg,37,12.80
ParticleSwarmAlg,38,12.80
ParticleSwarmAlg,39,12.80
ParticleSwarmAlg,40,12.80
ParticleSwarmAlg,41,12.80
ParticleSwarmAlg,42,12.80
ParticleSwarmAlg,43,12.80
ParticleSwarmAlg,44,12.80
ParticleSwarmAlg,45,12.80
ParticleSwarmAlg,46,12.80
ParticleSwarmAlg,47,12.80
ParticleSwarmAlg,48,12.80
ParticleSwarmAlg,49,12.80
ParticleSwarmAlg,50,12.80
ParticleSwarmAlg,51,12.80
ParticleSwarmAlg,52,12.80
ParticleSwarmAlg,53,12.80
ParticleSwarmAlg,54,12.80
ParticleSwarmAlg,55,12.80
ParticleSwarmAlg,56,12.40
ParticleSwarmAlg,57,12.40
ParticleSwarmAlg,58,12.40
ParticleSwarmAlg,59,12.40
ParticleSwarmAlg,60,12.40
ParticleSwarmAlg,61,12.40
ParticleSwarmAlg,62,12.40
ParticleSwarmAlg,63,12.40
ParticleSwarmAlg,64,12.40
ParticleSwarmAlg,65,12.40
ParticleSwarmAlg,66,12.40
ParticleSwarmAlg,67,12.40
ParticleSwarmAlg,68,12.40
ParticleSwarmAlg,69,12.40
ParticleSwarmAlg,70,12.40
ParticleSwarmAlg,71,12.40
ParticleSwarmAlg,72,12.40
ParticleSwarmAlg,73,12.40
ParticleSwarmAlg,74,12.40
ParticleSwarmAlg,75,12.40
ParticleSwarmAlg,76,12.40
ParticleSwarmAlg,77,12.40
ParticleSwarmAlg,78,12.40
ParticleSwarmAlg,79,12.40
ParticleSwarmAlg,80,12.40
ParticleSwarmAlg,81,12.40
ParticleSwarmAlg,82,12.40
ParticleSwarmAlg,83,12.40
ParticleSwarmAlg,84,12.40
ParticleSwarmAlg,85,12.40
ParticleSwarmAlg,86,12.40
ParticleSwarmAlg,87,12.40
ParticleSwarmAlg,88,12.40
ParticleSwarmAlg,89,12.40
ParticleSwarmAlg,90,12.40
ParticleSwarmAlg,91,12.40
ParticleSwarmAlg,92,12.40
ParticleSwarmAlg,93,12.40
ParticleSwarmAlg,94,12.40
ParticleSwarmAlg,95,12.40
ParticleSwarmAlg,96,12.40
ParticleSwarmAlg,97,12.40
ParticleSwarmAlg,98,12.40
ParticleSwarmAlg,99,12.40
